ligand,receptor,pathway,function,AX,LA,LV,RA,RV,SP,mean_score
CTSS,CD74,secreted_enzyme,functional,0.0,0.5344529286803377,0.30949453647123415,0.5609008692674079,0.0,0.0,0.23414138906982995
CXCR4,CD74,cell_adhesion,functional,0.0,0.5080781367612289,0.22870996917758135,0.39783616250494913,0.26300160826992264,0.0,0.232937646118947
CD74,CXCR4,cell_adhesion,functional,0.0,0.5080781367612289,0.2287099691775813,0.3978361625049491,0.2630016082699227,0.0,0.232937646118947
C2,C3,ecm,functional,0.2136676355911373,0.3629021644916775,0.0,0.42982035319927336,0.36904097660127627,0.0,0.22923852164722738
GSN,COL1A1,ecm,functional,0.6429378192163466,0.0,0.0,0.0,0.0,0.718644170365653,0.22693033159699993
CFI,C3,secreted_enzyme,functional,0.0,0.39784970197012365,0.0,0.502563427029814,0.44022837773045537,0.0,0.2234402511217322
FN1,CD93,ecm,functional,0.6619638114076069,0.6703601900729964,0.0,0.0,0.0,0.0,0.22205400024676722
PLAT,FN1,ecm_regulator,functional,0.0,0.4194424805412189,0.13714795555100637,0.49299169794443326,0.26844354133478177,0.0,0.21967094589524003
JAG1,NOTCH3,ligand,functional,0.4709652018843544,0.0,0.3053299157017822,0.0,0.527321352078481,0.0,0.2172694116107696
NOTCH3,JAG1,cell_surface_ligand,functional,0.4709652018843544,0.0,0.3053299157017822,0.0,0.527321352078481,0.0,0.2172694116107696
CTSB,CD74,ecm_regulator,functional,0.0,0.0,0.0,0.0,0.6746689785786311,0.624056357589921,0.21645422269475867
THBS2,NOTCH3,ecm,functional,0.3358562950561354,0.0,0.0,0.0,0.4841087053563763,0.47249024989305133,0.21540920838426048
VCAN,CD44,ecm,functional,0.31136114128698417,0.5112166897854359,0.0,0.0,0.0,0.4602565167097568,0.21380572463036282
HP,CD163,ligand,functional,0.0,0.39374857651698825,0.15064987695332258,0.3742040562876778,0.30128369479570793,0.0,0.20331436742561607
COL6A2,CD44,ecm,functional,0.5495833597356004,0.6326715891431429,0.0,0.0,0.0,0.0,0.19704249147979055
TIMP3,ADAMTS4,ecm,functional,0.0,0.0,0.0,0.6039869317189461,0.0,0.5734179257856012,0.19623414291742458
VIM,ROCK1,ecm,functional,0.0,0.584007406312841,0.0,0.0,0.0,0.5832435696850012,0.1945418293329737
TYROBP,CD44,cell_surface_ligand,functional,0.21993899972421235,0.3948115866893035,0.0,0.0,0.0,0.5148223117831527,0.18826214969944477
HLA-DRA,CTSS,ligand,functional,0.0,0.4554720673108793,0.1722299353737318,0.4935337901947358,0.0,0.0,0.1868726321465578
FN1,ADAMTS4,ecm,functional,0.0,0.0,0.0,0.5625645834771374,0.0,0.5550914492267597,0.1862760054506495
FN1,ITGA8,ecm,functional,0.0,0.26900797033004964,0.06255888371889509,0.3207942770308952,0.21805638364459284,0.24381305122105493,0.18570509432424795
FBN1,FBLN5,ecm,functional,0.49036941501486486,0.622880085146449,0.0,0.0,0.0,0.0,0.18554158336021898
CCL21,VCAN,ligand,functional,0.11607575905278758,0.40686594374838936,0.0,0.0,0.3156559580297469,0.27288877259637395,0.18524773890454962
C1QA,CD93,ecm,functional,0.5035338321107418,0.5948504280945393,0.0,0.0,0.0,0.0,0.18306404336754686
VCAN,TNC,ecm,functional,0.1648981779054953,0.3373403544309321,0.0,0.0,0.13623861812096913,0.4425775699501276,0.18017578673458734
TIMP3,MMP14,ecm,functional,0.0,0.0,0.0,0.5779483661810492,0.0,0.500192168417654,0.17969008909978387
COL3A1,CD93,ecm,functional,0.5065893123696003,0.5679789131800805,0.0,0.0,0.0,0.0,0.17909470425828014
CCL11,ACKR1,ligand,functional,0.138731246097478,0.14616028759172317,0.0,0.0,0.30890185481511817,0.44087055616424986,0.17244399077809489
HLA-DMA,CD74,ligand,functional,0.0,0.0,0.40708073191567173,0.6018970035657255,0.0,0.0,0.16816295591356623
DCN,TGFB1,ligand,functional,0.0,0.0,0.44151002398003686,0.5475633937215776,0.0,0.0,0.16484556961693575
TGFB1,DCN,ligand,functional,0.0,0.0,0.4415100239800368,0.5475633937215775,0.0,0.0,0.16484556961693572
IGFBP3,MMP14,ligand,functional,0.39503928005862504,0.0,0.22654946484036784,0.0,0.0,0.3626056619483777,0.1640324011412284
LYN,ACTB,cell_adhesion,functional,0.3132520061072775,0.2952905704957335,0.0,0.0,0.0,0.3677603703337798,0.16271715782279847
ACTN1,LPP,ecm,functional,0.3916395906078238,0.0,0.0,0.0,0.0,0.5533370101612479,0.1574961001281786
ADAMTS1,VCAN,secreted_enzyme,functional,0.4193075867204534,0.0,0.0,0.0,0.5157802196483982,0.0,0.1558479677281419
S100A9,ITGB2,ligand,functional,0.31743106008541855,0.0,0.0,0.6133903412764851,0.0,0.0,0.15513690022698393
COL1A1,CD93,ecm,functional,0.4235389639324589,0.5064376041067719,0.0,0.0,0.0,0.0,0.1549960946732051
HLA-DMB,CD74,ligand,functional,0.0,0.4340948476890186,0.0,0.4662050505604418,0.0,0.0,0.15004998304157674
CCL18,ACKR1,ligand,functional,0.1198453858163383,0.287614571824805,0.061855824521347226,0.0,0.23401454766490098,0.19626074977093516,0.1499318465997211
HSP90AA1,TGFBR1,cell_adhesion,functional,0.0,0.0,0.0,0.48571836455613393,0.0,0.39786596375770633,0.1472640547189734
SRGN,CD44,cell_adhesion,functional,0.30650860883943165,0.0,0.0,0.0,0.0,0.576693690497582,0.1472003832228356
FN1,TNFRSF11B,ecm,functional,0.310532647424374,0.0,0.0,0.0,0.0,0.5643748841135313,0.14581792192298423
MMP14,CD44,ecm_regulator,functional,0.19500451171940392,0.2723260406484607,0.12128505342553962,0.0,0.0,0.2804950445875918,0.14485177506349933
CCL2,CXCR4,ligand,functional,0.0,0.2641922349146387,0.12798601946263233,0.24891806630572338,0.22189910266975382,0.0,0.1438325705587914
TGFB1,FN1,ligand,functional,0.0,0.0,0.2506405513450931,0.5936401457167055,0.0,0.0,0.14071344951029977
IL6,DCN,ligand,functional,0.0,0.0,0.120417873590224,0.5354782706079821,0.0,0.18105697724412312,0.1394921869070549
FN1,ITGA3,ecm,functional,0.0,0.0,0.2748210443546528,0.5615195645889843,0.0,0.0,0.13939010149060618
TGFBR1,CLU,cell_adhesion,functional,0.0,0.0,0.0,0.4430380222891666,0.0,0.38254336058654165,0.13759689714595139
COL1A2,ITGB4,ecm,functional,0.2746106747852328,0.0,0.20015742277526527,0.0,0.3455179297938491,0.0,0.1367143378923912
COL6A1,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.8112757072150496,0.0,0.13521261786917493
FN1,ITGB4,ecm,functional,0.29467191162114703,0.0,0.16763219551497816,0.0,0.3480249644327344,0.0,0.1350548452614766
COL6A3,CD44,ecm,functional,0.3325230343142364,0.46358787512108635,0.0,0.0,0.0,0.0,0.13268515157255378
COL1A2,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.7946636718800847,0.0,0.13244394531334744
COL1A2,ITGA5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7934468823768503,0.1322411470628084
FN1,ITGA5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7912385215346135,0.13187308692243557
FN1,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.7881766988942461,0.0,0.131362783149041
SPP1,CD44,ligand,functional,0.12531182783886052,0.2048236574245511,0.11155283790091337,0.0,0.0,0.3394175969518971,0.13018432001937033
TGFB1,MMP2,ligand,functional,0.0,0.0,0.248029279626732,0.5328436542276345,0.0,0.0,0.13014548897572775
MMP2,TGFB1,ecm,functional,0.0,0.0,0.2480292796267319,0.5328436542276345,0.0,0.0,0.13014548897572772
TIMP3,MMP2,ecm,functional,0.0,0.0,0.0,0.7795073512013805,0.0,0.0,0.12991789186689676
CLU,TGFB1,ligand,functional,0.0,0.0,0.23615870634142813,0.5427562195435949,0.0,0.0,0.1298191543141705
COL4A2,ITGA5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7769471952298125,0.12949119920496874
COL4A1,ITGA5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7751477384248127,0.12919128973746877
A2M,MMP2,ecm_regulator,functional,0.7738887964381309,0.0,0.0,0.0,0.0,0.0,0.12898146607302183
A2M,LRP1,ecm_regulator,functional,0.7734112804790814,0.0,0.0,0.0,0.0,0.0,0.1289018800798469
THBS1,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.7670234243725628,0.0,0.12783723739542713
EZR,FN1,ligand,functional,0.0,0.0,0.0,0.7625869651767749,0.0,0.0,0.1270978275294625
S100A8,MDM2,ligand,functional,0.21795139968430216,0.0,0.17786846083743846,0.0,0.0,0.36603609377683294,0.1269759923830956
CXCL12,ITGAV,ligand,functional,0.0,0.0,0.0,0.0,0.7612723893691454,0.0,0.12687873156152424
THBS1,ITGA8,ecm,functional,0.0,0.1404114843126192,0.049600520827485145,0.20001654704673658,0.18330063518856662,0.1864321184590921,0.12662688430574995
COL3A1,ITGA5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7559931325293705,0.12599885542156175
APOD,LEPR,ligand,functional,0.0,0.33221560154621826,0.17328107409233062,0.0,0.2495584753763835,0.0,0.1258425251691554
FN1,ENG,ecm,functional,0.0,0.7526292475522143,0.0,0.0,0.0,0.0,0.12543820792536906
SERPINA5,FN1,ecm,functional,0.0,0.4430037478880628,0.10138082854811764,0.0,0.0,0.2032411884540707,0.12460429414837519
MIF,CD74,ligand,functional,0.0,0.0,0.0,0.0,0.7450903243989827,0.0,0.12418172073316379
COL6A2,ITGB5,ecm,functional,0.741598936813639,0.0,0.0,0.0,0.0,0.0,0.12359982280227316
PLA2G2A,ITGAV,ligand,functional,0.0,0.0,0.0,0.0,0.7411871185610664,0.0,0.12353118642684441
CD44,CXCL12,cell_surface_ligand,functional,0.0,0.5010978276798329,0.23726718984126377,0.0,0.0,0.0,0.12306083625351612
THBS4,ITGA5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7382552973814062,0.1230425495635677
FN1,NT5E,ecm,functional,0.0,0.0,0.0,0.4167605743532188,0.3205934448884263,0.0,0.12289233654027416
HLA-DRA,CD4,ligand,functional,0.0,0.32463792992220264,0.0,0.0,0.0,0.4071638876980272,0.12196696960337165
COL1A2,SDC2,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7312382071050969,0.12187303451751615
COL4A2,CD44,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7300243247319901,0.12167072078866502
CD14,ICAM3,cell_surface_ligand,functional,0.24144003162291933,0.0,0.0,0.0,0.4883736846189903,0.0,0.1216356193736516
THBS4,LTBP1,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7274606629269249,0.12124344382115415
HLA-DRA,CD9,ligand,functional,0.0,0.7270083129430157,0.0,0.0,0.0,0.0,0.12116805215716929
TIMP3,CD44,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7244568509192313,0.12074280848653855
TF,C3,ligand,functional,0.07394064336624331,0.24226407744211206,0.08269944888561781,0.1492057183723633,0.11563380517712861,0.059937911953080764,0.12061360086609096
COL4A1,CD44,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7220020008186213,0.12033366680310355
MSN,ACTB,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.7199986724440145,0.11999977874066908
COL4A2,SDC2,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7197321714917774,0.11995536191529622
COL5A1,DDR2,ecm,functional,0.17838054052978436,0.268208979987018,0.09012757592122836,0.0,0.1816919895162764,0.0,0.11973484765905118
COL4A1,SDC2,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.7131572360180073,0.11885953933633454
COL3A1,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.7071873439476918,0.0,0.1178645573246153
TIMP2,CD44,ecm_regulator,functional,0.0,0.0,0.0,0.0,0.0,0.6974980012059849,0.11624966686766415
COL6A3,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.6955049243767286,0.0,0.11591748739612144
FN1,SDC2,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.6950951917003548,0.11584919861672581
PLA2G2A,ITGA5,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.6942509609745212,0.11570849349575353
TPSAB1,MMP2,ligand,functional,0.15885200583144793,0.21042958629936687,0.0,0.1330121958739054,0.19061690611810614,0.0,0.11548511568713772
COL1A1,ITGA5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.6889660026346409,0.11482766710577348
SERPINA1,LRP1,ecm_regulator,functional,0.2206943442840554,0.0,0.0,0.0,0.468036393457699,0.0,0.1147884562902924
CXCL12,CXCR4,ligand,functional,0.0,0.34656462110765623,0.12026905095742749,0.0,0.21995414020127432,0.0,0.11446463537772635
COL3A1,SDC2,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.6854687874631631,0.11424479791052718
TNXB,ITGB5,ecm,functional,0.6849601028341556,0.0,0.0,0.0,0.0,0.0,0.11416001713902595
CXCL12,ACKR3,ligand,functional,0.0,0.4561656493195038,0.22605379195024483,0.0,0.0,0.0,0.11370324021162477
S100A4,MDM2,ligand,functional,0.41794596664958483,0.0,0.26274533779243486,0.0,0.0,0.0,0.11344855074033662
FN1,ITGB5,ecm,functional,0.6778539778328557,0.0,0.0,0.0,0.0,0.0,0.11297566297214262
THBS1,ITGA5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.6650377968170397,0.11083963280283994
TTN,MYH9,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.663146099550297,0.1105243499250495
IGFBP4,LRP6,ecm,functional,0.3372834719820843,0.0,0.3228615325196978,0.0,0.0,0.0,0.11002416741696368
THBS4,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.6594529031079814,0.0,0.10990881718466357
THBS4,SDC2,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.6560157747829779,0.10933596246382965
COL14A1,CD44,ecm,functional,0.0,0.3499919853353272,0.06404952692673797,0.0,0.0,0.24161524779973562,0.1092761266769668
THBS1,LTBP1,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.6526035860105651,0.10876726433509419
THBS1,SCARB1,ecm,functional,0.0,0.0,0.10388487072378985,0.2587748129284239,0.2870186838881312,0.0,0.10827972792339084
COL1A2,ITGB5,ecm,functional,0.6488984235298931,0.0,0.0,0.0,0.0,0.0,0.10814973725498218
SDC2,MSN,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.6430997233057928,0.10718328721763214
SERPINE2,LRP1,ecm_regulator,functional,0.4415010883040124,0.0,0.19756734538292667,0.0,0.0,0.0,0.10651140561448985
NPPA,PRKG1,ligand,functional,0.2793123417437136,0.0,0.0,0.0,0.0,0.3595632817441004,0.10647927058130234
GRK2,EZR,cell_adhesion,functional,0.0,0.0,0.0,0.6387566317270121,0.0,0.0,0.10645943862116869
IL6,FN1,ligand,functional,0.0,0.0,0.06486168512430247,0.38968045458707146,0.0,0.18254483344996328,0.10618116219355621
S100A8,ITGB2,ligand,functional,0.20289582613475574,0.0,0.0,0.43415330116818857,0.0,0.0,0.10617485455049071
COL1A2,CD93,ecm,functional,0.6355687441658772,0.0,0.0,0.0,0.0,0.0,0.10592812402764619
APOA1,LRP1,ligand,functional,0.6337494949710726,0.0,0.0,0.0,0.0,0.0,0.10562491582851209
LPL,VCAN,ecm,functional,0.0,0.6328111434830761,0.0,0.0,0.0,0.0,0.10546852391384602
MDK,LRP1,ligand,functional,0.26888055745912937,0.0,0.0,0.0,0.36264806395765975,0.0,0.10525477023613151
TGFB2,FN1,ligand,functional,0.0,0.0,0.0,0.18483146864256034,0.0,0.44222496005257317,0.10450940478252224
PTPN6,HLA-DRA,ligand,functional,0.16737240537814616,0.0,0.13716230471794003,0.3188203827279825,0.0,0.0,0.10389251547067813
FN1,SOS1,ecm,functional,0.0,0.0,0.22439988455029505,0.0,0.3959493194881245,0.0,0.10339153400640326
DCN,MET,ligand,functional,0.0,0.0,0.2819383543537171,0.0,0.33120226978756934,0.0,0.10219010402354774
MET,DCN,cell_adhesion,functional,0.0,0.0,0.28193835435371706,0.0,0.33120226978756934,0.0,0.10219010402354774
HSP90AA1,NR3C1,cell_adhesion,functional,0.0,0.0,0.0,0.6115565974720618,0.0,0.0,0.10192609957867697
COL1A1,SDC2,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.6048662565173378,0.10081104275288964
TFPI,F10,ecm,functional,0.17340367804830692,0.0,0.0,0.4307196667815874,0.0,0.0,0.10068722413831573
SOD3,LYN,ecm,functional,0.2341606466336143,0.0,0.0,0.0,0.0,0.3691348148841641,0.1005492435862964
PLTP,APOA1,ecm,functional,0.6024750779867929,0.0,0.0,0.0,0.0,0.0,0.10041251299779881
MFAP5,JAG1,ecm,functional,0.34315294316185757,0.0,0.06487948073486016,0.0,0.1874343367483457,0.0,0.09924446010751058
COL3A1,ITGB4,ecm,functional,0.19662474522776277,0.0,0.14325855318973746,0.0,0.255109239461396,0.0,0.09916542297981605
THBS1,TGFB1,ecm,functional,0.0,0.0,0.1959940017247767,0.3989433697302339,0.0,0.0,0.0991562285758351
TGFB1,THBS1,ligand,functional,0.0,0.0,0.1959940017247767,0.3989433697302339,0.0,0.0,0.0991562285758351
ANXA2,TLR2,ligand,functional,0.0,0.0,0.0,0.0,0.2900150807686941,0.3044839167514973,0.09908316625336522
THBS1,TNFRSF11B,ecm,functional,0.169076923593843,0.0,0.0,0.0,0.0,0.42521145837145347,0.09904806366088274
ICAM1,EZR,ligand,functional,0.0,0.0,0.0,0.5920978025672995,0.0,0.0,0.09868296709454992
COL5A1,CD93,ecm,functional,0.27788399504708644,0.31418900562681196,0.0,0.0,0.0,0.0,0.09867883344564972
THBS1,ITGB4,ecm,functional,0.15800617074468518,0.0,0.1294319688383016,0.0,0.3018972613151284,0.0,0.09822256681635254
MYL9,ACTB,ligand,functional,0.0,0.0,0.0,0.0,0.0,0.5889742249738736,0.09816237082897894
FN1,ITGB8,ecm,functional,0.1548458262388742,0.0,0.0,0.26305752107141883,0.17090093164568512,0.0,0.09813404649266301
INSR,PDGFRB,ligand_regulator,functional,0.5887470307908144,0.0,0.0,0.0,0.0,0.0,0.09812450513180239
COL1A1,ITGAV,ecm,functional,0.0,0.0,0.0,0.0,0.5887381687991601,0.0,0.09812302813319335
COL3A1,ITGA8,ecm,functional,0.0,0.18861869599880207,0.04505089914246633,0.0,0.14618089516987903,0.2079402806529453,0.09796512849401545
CTSG,C3,ligand,functional,0.0,0.0,0.11473663740348998,0.0,0.2742696756180712,0.19834616514086117,0.09789207969373707
FMOD,TGFB1,ecm,functional,0.0,0.0,0.10453925424825859,0.4795014249419829,0.0,0.0,0.09734011319837359
HLA-DRA,CD53,ligand,functional,0.21569262583389415,0.36624816258479004,0.0,0.0,0.0,0.0,0.09699013140311404
THBS1,SDC2,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.579521366328225,0.09658689438803751
COL6A2,ITGA8,ecm,functional,0.0,0.26821885475274987,0.0,0.3079084948811983,0.0,0.0,0.09602122493899136
MIF,STAT3,ligand,functional,0.5756544373196953,0.0,0.0,0.0,0.0,0.0,0.09594240621994922
HSP90AA1,FER,cell_adhesion,functional,0.0,0.0,0.0,0.33399053564035724,0.0,0.23857911019612946,0.09542827430608113
TNC,ITGA5,ecm,functional,0.0,0.0,0.0,0.0,0.0,0.5717335726544991,0.09528892877574985
IGF1,PDGFRA,ligand,functional,0.12960289592641305,0.25669514075951966,0.0,0.0,0.0,0.18298080989243606,0.09487980776306147
TNXB,ITGA3,ecm,functional,0.0,0.0,0.0,0.5620398018997569,0.0,0.0,0.09367330031662614
COL6A2,ITGA3,ecm,functional,0.0,0.0,0.0,0.561621356426398,0.0,0.0,0.09360355940439967
CCDC80,STAT3,ecm,functional,0.558938666948635,0.0,0.0,0.0,0.0,0.0,0.09315644449143917
COL5A1,CD44,ecm,functional,0.17786031815183787,0.27647371649134006,0.10285673460142984,0.0,0.0,0.0,0.09286512820743463
THBS1,ITGA3,ecm,functional,0.0,0.0,0.2097447499924012,0.3451359355254712,0.0,0.0,0.09248011425297874
APOA1,CD14,ligand,functional,0.5543561813100604,0.0,0.0,0.0,0.0,0.0,0.09239269688501006
VCAN,SELP,ecm,functional,0.10793617828248817,0.30324583271178146,0.0,0.0,0.141629217889062,0.0,0.09213520481388861
TIMP2,ITGA3,ecm_regulator,functional,0.0,0.0,0.0,0.5524172856300118,0.0,0.0,0.09206954760500197
INSR,LPP,ligand_regulator,functional,0.5503379346785702,0.0,0.0,0.0,0.0,0.0,0.09172298911309502
COL6A1,SDC3,ecm,functional,0.0,0.0,0.0,0.0,0.5501323349325917,0.0,0.09168872248876529
